pcs/m,orchards,vineyards,buildings,forest,undefined,public services,streets
0.99,0.0,0.0,0.047,0.27,0.683,0.003400858724245,0.10699816301366416
1.5999999999999999,0.0,0.0,0.047,0.27,0.683,0.003400858724245,0.10699816301366416
1.6600000000000001,0.0,0.0,0.047,0.27,0.683,0.003400858724245,0.10699816301366416
0.66,0.0,0.0,0.047,0.27,0.683,0.003400858724245,0.10699816301366416
0.42,0.0,0.0,0.047,0.27,0.683,0.003400858724245,0.10699816301366416
0.25,0.0,0.0,0.047,0.27,0.683,0.003400858724245,0.10699816301366416
0.14,0.0,0.0,0.047,0.27,0.683,0.003400858724245,0.10699816301366416
0.4,0.0,0.0,0.047,0.27,0.683,0.003400858724245,0.10699816301366416
0.27,0.0,0.0,0.047,0.27,0.683,0.003400858724245,0.10699816301366416
0.73,0.0,0.0,0.047,0.27,0.683,0.003400858724245,0.10699816301366416
0.55,0.0,0.0,0.047,0.27,0.683,0.003400858724245,0.10699816301366416
0.51,0.0,0.0,0.173,0.354,0.473,0.0108355769214817,0.3842572787438033
0.27,0.0,0.0,0.173,0.354,0.473,0.0108355769214817,0.3842572787438033
