code,material,en,source,parent_code,single_use,groupname,fr,de
G40,Plastic,Gloves household/gardening,Clothing,G40,False,personal items,Gants de ménage/jardinage,Handschuhe Haushalt/Garten
G41,Plastic,Glove industrial/professional,Clothing,G41,False,agriculture,Gant industriel/professionnel,Handschuhe Industriell/Professionell
G42,Plastic,Crab lobster pots,Fishing,G42,False,unclassified,Pots à crabe et à homard,Krabben- und Hummerkörbe
G43,Plastic,"Tags fishing or industry (security tags, seals)",Utility items,G43,False,recreation,"Étiquettes de sécurité, sceaux","Sicherheitsetiketten, Siegel für Fischerei oder Industrie "
G44,Plastic,Octopus pots,Fishing,G44,False,unclassified,Pots à poulpe,Kunststoffgefäss zum Fangen von Kraken
G45,Plastic,Mussel nets,Aquaculture,G45,False,unclassified,Filets à moules,Muschelnetze
G46,Plastic,Oyster trays,Aquaculture,G46,False,unclassified,Plateaux à huîtres,Austernschalen
G47,Plastic,Sheeting from mussel culture,Aquaculture,G47,False,unclassified,Feuilles de la culture des moules,Folien aus der Muschelzucht
G48,Plastic,"Rope, synthetic",Utility items,G48,False,recreation,"Corde, synthétique","Seile, synthetische"
G49,Plastic,Rope > 1cm,Utility items,G49,False,recreation,Corde > 1cm,Seile > 1cm
G5,Plastic,Generic plastic bags,Packaging,G5,False,packaging non food,Sacs en plastique génériques,Plastiksäcke/ Plastiktüten
G50,Plastic,String < 1cm,Utility items,G50,False,recreation,Cordon < 1cm,Schnur < 1cm
G51,Plastic,Fishing net,Fishing,G51,False,recreation,Filet de pêche,Fischernetz
G52,Plastic,Nets and pieces,Fishing,G52,False,recreation,Filets et pièces,Netze und Teilstücke
G53,Plastic,Nets and pieces < 50cm,Fishing,G53,False,recreation,Filets et pièces < 50cm,Netze und Teilstücke < 50cm
G54,Plastic,Nets and pieces > 50cm,Fishing,G54,False,recreation,Filets et pièces > 50cm,Netze und Teilstücke > 50cm
G55,Plastic,Fishing line (entangled),Fishing,G55,False,recreation,Ligne de pêche (enchevêtrée),Angelschnur (verwickelt)
G56,Plastic,Tangled nets,Fishing,G56,False,recreation,Filets emmêlés,Verhedderte Netze
G57,Plastic,Fish boxes,Fishing,G57,False,recreation,Caisses à poisson,Fischkisten
G58,Plastic,Foam fish box,Fishing,G58,False,recreation,Caisses à poisson en mousse,Schaumstoff-Fischkiste
G59,Plastic,Fishing line monofilament (angling),Fishing,G59,False,recreation,Ligne de pêche monofilament (pêche à la ligne),Monofile Angelschnur (Angeln)
G6,Plastic,"Bottles and containers, plastic non food/drink",Packaging,G6,True,packaging non food,Récipients en plastique non alimentaires,"Flaschen und Behälter aus Kunststoff, nicht für Lebensmittel/Getränke"
G60,Plastic,Light sticks,Fishing,G60,False,recreation,Bâtons lumineux,"Lichtstab, Knicklicht, Glow-sticks"
G61,Plastic,Other fishing related,Fishing,G61,False,recreation,Autres activités liées à la pêche,Sonstiges Angelzubehör
G62,Plastic,Floats for nets,Fishing,G62,False,unclassified,Flotteurs pour filets,Schwimmer für Netze
G63,Plastic,Buoys,Undefined,G63,False,recreation,Bouées,Bojen
G64,Plastic,Fenders,Vehicle,G64,False,unclassified,Garde-boue,Kotflügel
G65,Plastic,Buckets,Utility items,G65,False,agriculture,Seaux,Eimer
G66,Plastic,"Straps/bands;  hard, plastic package fastener",Packaging,G66,False,infrastructure,sangles/bandes ; fermeture de paquet en plastique dur,Umreifungsbänder; Hartplastik für Verpackung für Pakete
G67,Plastic,Industrial sheeting,Utility items,G67,False,agriculture,"Bâche, feuille plastique industrielle",Industriefolie (Kunststoff)
G68,Plastic,Fiberglass fragments,Fishing,G68,False,infrastructure,Fragments de fibre de verre,Fiberglas-Fragmente
G69,Plastic,Helmets or hardhats,Clothing,G69,False,infrastructure,Casques ou casques de sécurité,Helme oder Schutzhelme
G7,Plastic,Drink bottles < = 0.5L,Packaging,G7,True,food and drink,"Bouteilles à boisson < = 0,5L","Getränkeflaschen < = 0,5 l"
G70,Plastic,Shotgun cartridges,Hunting,G70,False,recreation,Cartouches de fusil de chasse,Schrotflintenpatronen
G71,Plastic,Shoes sandals,Clothing,G71,False,personal items,Chaussures sandales,Schuhe Sandalen
G72,Plastic,Traffic cones,Utility items,G72,False,infrastructure,Cônes de signalisation,Verkehrskegel
G73,Plastic,Foamed items & pieces (non packaging/insulation) foamed sponge material,Recreation,G73,False,recreation,Articles et pièces en mousse (pas d'emballage),Gegenstände aus Schaumstoff & Teilstücke (nicht Verpackung/Isolierung) schwammartige Gegenstände
G74,Plastic,Foam packaging/insulation/polyurethane,Undefined,G74,False,infrastructure,Mousse de plastique pour l'isolation thermique ou ...,Schaumstoff-Verpackungen/Isolierung/Polyurethan
G77,Plastic,Plastic or polystyrene  > 50cm,Undefined,G77,False,plastic pieces,Plastique ou polystyrène > 50cm,Kunststoff oder Styropor > 50cm
G8,Plastic,Drink bottles  > 0.5L,Packaging,G8,True,food and drink,"Bouteilles à boisson > = 0,5L","Getränkeflaschen > 0,5L"
G84,Plastic,CD or CD box,Packaging,G84,False,personal items,Disque compact ou conteneur,CD oder CD-Hülle
G85,Plastic,Salt packaging,Packaging,G85,False,unclassified,Emballage du sel,"Salzsäcke (gross, zum Salzstreuen) "
G86,Plastic,Fin trees,Recreation,G86,False,recreation,Arbres à palmes,Scuba material
G87,Plastic,"Tape, masking/duct/packing",Utility items,G87,False,infrastructure,"Ruban adhésif, masquage, emballage","Klebeband, Abdeckklebeband/Verpackungsklebeband"
G88,Plastic,Telephone incl. parts,Utility items,G88,False,personal items,"Téléphone, pièces détachées incluses",Telefon inkl. Teile
G89,Plastic,Plastic construction waste,Construction,G89,False,infrastructure,Déchets de construction en plastique,Kunststoff-Bauabfälle
G9,Plastic,"Cleaner, chemical bottles & containers",Packaging,G9,True,infrastructure,Récipients pour produits chimiques et nettoyants,Flaschen und Behälter für Reinigungsmittel und Chemikalien
G90,Plastic,Plastic flower pots,Agriculture,G90,False,agriculture,Pots de fleurs en plastique,Blumentöpfe aus Plastik
G91,Plastic,Biomass holder,Water Treatment,G91,False,waste water,Porte-biomasse,Bio-Filtermaterial  / Trägermaterial aus Kunststoff für Abwasserbehandlung  im Bewegtbett-Biofilmreaktor  Verfahren (MBBR)
G92,Plastic,Bait containers,Fishing,G92,False,recreation,Conteneurs à appâts,Köderbehälter
G93,Plastic,"Cable ties; steggel, zip, zap straps",Utility items,G93,True,infrastructure,"Colson, zip-ties",Kabelbinder
G94,Plastic,Table cloth,Utility items,G94,False,recreation,Nappe de table,Tischtuch
G95,Plastic,Cotton bud/swab sticks,Personal hygiene,G95,True,waste water,Coton-tige,Wattestäbchen/Tupfer
G96,Plastic,Sanitary pads /panty liners/tampons and applicators,Personal hygiene,G96,True,waste water,Serviettes hygiéniques / protège-slips / tampons et ...,Hygienebinden/Höscheneinlagen/Tampons und Applikatoren
G97,Plastic,Toilet fresheners,Personal hygiene,G97,False,waste water,Rafraîchisseurs de toilettes,Behälter von Toilettenerfrischer 
G98,Plastic,Diapers - wipes,Personal hygiene,G98,True,waste water,Couches - lingettes,Windeln – Feuchttücher
G99,Plastic,Syringes - needles,Medical,G99,False,personal items,Seringues - aiguilles,Spritzen - Nadeln
G125,Rubber,Balloons and balloon sticks,Recreation,G125,True,recreation,Ballons et bâtonnets de ballons,Luftballons und Luftballonstäbchen
G126,Rubber,Balls,Recreation,G126,False,recreation,Boules en caoutchouc,Bälle
G127,Rubber,Rubber boots,Clothing,G127,False,personal items,Bottes en caoutchouc,Gummistiefel
G128,Rubber,Tires and belts,Vehicle,G128,False,unclassified,Pneus et courroies,Reifen und Antriebsriemen
G129,Rubber,Inner tubes and rubber sheets,Vehicle,G129,False,unclassified,Chambres à air et feuilles de caoutchouc,Schläuche und Gummiplatten
G130,Rubber,Wheels,Vehicle,G130,False,unclassified,Roues,Räder
G131,Rubber,Rubber bands,Utility items,G131,False,personal items,Bandes élastiques,Gummibänder
G132,Rubber,Bobbers (fishing),Fishing,G132,False,recreation,Bobine de pêche,Schwimmer (Angeln)
G133,Rubber,Condoms incl. packaging,Personal hygiene,G133,True,waste water,"Préservatifs, y compris emballage",Kondome einschließlich Verpackungen
G134,Rubber,Other rubber,Undefined,G134,False,unclassified,Autre caoutchouc,Sonstiges Gummi
G998,Undefined,No exposed shoreline,Where does it come from,G998,False,unclassified,aucun rivage exposé,Keine freiliegende Uferlinie
G999,Unidentified,No objects found on this survey,Undefined,G999,False,unclassified,Aucun objet trouvé dans cette enquête,Keine Gegenstände bei dieser Erhebung/Studie gefunden
G159,Wood,Corks,Packaging,G159,False,food and drink,Bouchon de liège,Kork
G160,Wood,Pallets,Packaging,G160,False,infrastructure,Pallettes,Paletten
G161,Wood,Processed timber,Packaging,G161,False,agriculture,Bois transformé,Verarbeitetes Holz
G162,Wood,Crates,Packaging,G162,False,infrastructure,Caisse,Kisten
G163,Wood,Crab lobster pots,Fishing,G163,False,unclassified,Pots à crabe et à homard,Krabben- und Hummerkörbe
G164,Wood,Fish boxes,Fishing,G164,False,recreation,Caisse à poisson en bois,Fischkisten
G165,Wood,"Ice cream sticks, toothpicks, chopsticks",Packaging,G165,True,food and drink,"Bâtons de glace, cure-dents, baguettes chinoises","Glacestengel (Eisstiele), Zahnstocher, Essstäbchen"
G166,Wood,Paint brushes,Utility items,G166,False,infrastructure,pinceau,Farbpinsel
G167,Wood,Matches or fireworks,Recreation,G167,False,recreation,allumettes ou feux d'artifice,Streichhölzer oder Feuerwerke
G168,Wood,Wood boards,Undefined,G168,False,agriculture,planches de bois,Holzbretter
G169,Wood,"Beams, dunnage",Undefined,G169,False,infrastructure,"Poutres, bois de calage","Balken, Stauholz"
G170,Wood,Wood (processed),Undefined,G170,False,agriculture,Bois (transformé),Holz (verarbeitet)
G171,Wood,Other wood < 50cm,Undefined,G171,False,agriculture,Autre bois < 50cm,Sonstiges Holz < 50cm
G172,Wood,Other wood > 50cm,Undefined,G172,False,agriculture,Autres bois > 50cm,Sonstiges Holz > 50 cm
G173,Wood,Other,Undefined,G173,False,unclassified,Autres bois,Sonstiges
Gfrags,Plastic,Fragmented plastics,Undefined,Gfrags,False,plastic pieces,Fragmented plastics,Fragmentierte Kunststoffe /Bruchstücke aus Kunststoff
Gcaps,plastic,"plastic caps, lid rings: G21, G22, G23, G24",Usagers,Gcaps,False,packaging non food,"plastic caps, lid rings: G21, G22, G23, G24","plastic caps, lid rings: G21, G22, G23, G24"
Gfoams,Plastic,Expanded polystyrene,Undefined,Gfoams,False,infrastructure,Expanded polystyrene,Expandiertes Polystyrol
G216,undefined,"various rubbish (worked wood, metal parts)",Undefined,G216,False,unclassified,"déchets divers (bois travaillé, pièces métalliques)","diverser Müll (bearbeitetes Holz, Metallteile)"
