code,material,en,source,parent_code,single_use,groupname,fr,de
G905,Plastic,"Hair clip,  hair ties, personal accessories plastic",Personal hygiene,G124,False,personal items,"Pince à cheveux, accessoires personnels","Haarspangen, Haargummis, persönliche Accessoires aus Kunststoff"
G907,Plastic,coffee capsules plastic,Undefined,G124,True,food and drink,capsules de café en plastique,Kaffeekapseln aus Kunststoff
G908,Plastic,"Tape; electrical, insulating",Construction,G124,False,infrastructure,"Ruban ; électrique, isolant","Klebeband; elektrisch, isolierend"
G909,Plastic,"Foamed plastic insulation, spray and foam board pieces 0.5- 2.5cm",Construction,G74,False,infrastructure,"Mousse plastique pour l'isolation thermique  0,5cm > < 2.5cm,","Schaumstoffisolierung, Spray und Schaumstoffplattenstücke 0,5 - 2,5 cm"
G910,Plastic,"Foamed plastic insulation, spray and foam board pieces  2.5cm - 50cm",Construction,G74,False,infrastructure,"Mousse plastique pour l'isolation thermique 2,5cm > < 50cm","Schaumstoffisolierung, Sprüh- und Schaumstoffplattenstücke 2,5cm - 50cm"
G911,Plastic,Foam expanded polystyrene pieces 0.5 - 2.5 cm,Packaging,G81,True,infrastructure,"Mousse de polystyrène; perles/boules expansées 0,5cm > < 2,5cm","Objekte aus expandiertem Polystyrol 0,5 - 2,5 cm"
G912,Plastic,Foam expanded polystyrene pieces 2.5 - 50cm,Packaging,G82,True,infrastructure,"Mousse de polystyrène; perles/boules expansées 2,5cm > <50cm","Objekte aus expandiertem Polystyrol 2,5 - 50 cm"
G913,Plastic,Pacifier,Personal hygiene,G124,False,personal items,Tétine pour bébé,Schnuller
G914,Plastic,"Paperclips, clothespins, plastic utility items",Utility items,G124,False,personal items,"Trombones, épingles à linge, articles utilitaires en plastique","Büroklammern, Wäscheklammern, Gebrauchsgegenstände aus Kunststoff"
G915,Plastic,"Reflectors, plastic mobility items",Utility items,G124,False,personal items,"Réflecteurs, articles de mobilité en plastique","Reflektoren, Mobilitätsartikel aus Kunststoff"
G922,Plastic,"Labels, bar codes",Packaging,G124,True,packaging non food,"Étiquettes, codes à barres","Etiketten, Strichcodes"
G925,Plastic,"Packets: desiccant/ moisture absorbers, plastic case filled with silica",Utility items,G124,True,packaging non food,Déshydratants/absorbants d'humidité,"Pakete: Trockenmittel/Feuchtigkeitsabsorber, mit Silicagel (Kieselgel) gefüllte Kunststoffbehälter"
G926,Plastic,"Chewing gum, often contains plastics",Undefined,G124,True,food and drink,Du chewing-gum,"Kaugummi, enthält oft Kunststoffe"
G927,Plastic,"String trimmer line, used to cut grass, weeds, and shrubbery",Utility items,G124,True,infrastructure,Ligne de débrousailleuse,"Plastikschnur von Rasentrimmern, die zum Schneiden von Gras, Unkraut und Sträuchern verwendet werden"
G928,Plastic,Ribbons and bows,Recreation,G124,True,personal items,Rubans et boucles,Bänder und Schleifen
G930,Plastic,Foam earplugs,Personal hygiene,G124,True,personal items,Bouchons d'oreille en mousse,Schaumstoff-Ohrstöpsel
G931,Plastic,"Tape-caution for barrier, police, construction etc.",Utility items,G124,True,infrastructure,"Ruban pour barrière, police, construction","(Absperr)band für Absperrungen, Polizei, Baustellen usw."
G932,Plastic,"Bio-beads, micro plastic for wastewater treatment, irregular shape, ridged sides < 5mm",Water Treatment,G91,False,waste water,"Bio-perles, micro plastique pour les eaux usées","Bio-Beads, Mikroplastik für die Abwasserbehandlung, unregelmässige Form, geriffelte Seiten < 5mm"
G933,Plastic,"Bags, cases for accessories; glasses, electronics, incl. straps, pieces, plstc. nylon etc.",Undefined,G124,False,personal items,"Sacs, étuis pour accessoires; lunettes, électronique","Taschen, Etuis für Zubehör, Brillen, Elektronik, inkl. Gurte, Stücke, Nylon etc."
G934,Plastic,"Sandbag, plastic for flood, erosion control etc..",Construction,G124,True,agriculture,"Sacs de sable, en plastique, pour le contrôle de l'érosion","Sandsäcke, Kunststoff für Hochwasser- und Erosionsschutz etc."
G935,Plastic,"Walking stick pads and pieces, often elastomeric material",Recreation,G124,False,personal items,"Tampons et pièces pour bâtons de marche, souvent en élastomère","Gummi-Puffer für Geh- und Wanderstöcke und Teile, oft aus Elastomermaterial"
G936,Plastic,Sheeting ag. greenhouse film,Agriculture,G67,False,agriculture,Film sur les serres,Folien für Gewächshäuser
G937,Plastic,Pheromone baits for vineyards,Agriculture,G124,False,agriculture,Appâts à phéromones pour les vignobles,Pheromonköder für Weinberge
G938,Plastic,"Toothpicks, dental floss plastic",Personal hygiene,G124,True,food and drink,"Cure-dents, fil dentaire en plastique","Zahnstocher, Zahnseide Kunststoff"
G939,Plastic,"Flowers, plants plastic",Undefined,G124,False,personal items,"Fleurs, plantes en plastique","Kunststoffblumen, Kunststoffpflanzen"
G940,Plastic,Foamed EVA (flexible plastic) for crafts & watersports,Recreation,G73,False,recreation,Mousse EVA pour les sports nautiques,Schaumstoff EVA (flexibler Kunststoff) für Handwerk und Wassersport
