slug,feature_ty,feature,area,dry,scale
quai-maria-belgia,l,Siedl,3035140,3102130,0.978
rastplatz-stampf,l,Obstanlage,109699,2316821,0.047
rastplatz-stampf,l,Siedl,1504024,2316821,0.649
reuss,r,Siedl,892215,6601567,0.135
reuss,r,Wald,1912893,6601567,0.29
reuss_stkarli_linigersimhofy,r,Siedl,3962572,7009371,0.565
reuss_stkarli_linigersimhofy,r,Wald,1185690,7009371,0.169
rivapiana,l,Siedl,3831662,3951436,0.97
rivapiana,l,Wald,101917,3951436,0.026
rocky-plage,l,Siedl,4049719,4400495,0.92
rolle-plage,l,Reben,1274299,4077320,0.313
rolle-plage,l,Siedl,2525650,4077320,0.619
route-13,r,Reben,153266,7058161,0.022
route-13,r,Siedl,5454228,7058161,0.773
route-13,r,Wald,358184,7058161,0.051
ruisseau-de-la-croix-plage,l,Siedl,860340,3520791,0.244
ruisseau-de-la-croix-plage,l,Wald,1257670,3520791,0.357
saint-sulpice,l,Obstanlage,180608,3334013,0.054
saint-sulpice,l,Reben,77888,3334013,0.023
saint-sulpice,l,Siedl,2689340,3334013,0.807
saint-sulpice,l,Wald,294570,3334013,0.088
san-bernardino,p,Siedl,111763,6777889,0.016
san-bernardino,p,Wald,4082216,6777889,0.602
san-nazzaro-gambarogno,l,Siedl,1574094,3804616,0.414
san-nazzaro-gambarogno,l,Wald,1995424,3804616,0.524
schmerikon-bahnhof-strand,l,Siedl,1198220,5632488,0.213
schmerikon-bahnhof-strand,l,Wald,1260963,5632488,0.224
seeflechsen,l,Siedl,1090240,5511029,0.198
seeflechsen,l,Wald,1716229,5511029,0.311
seemuhlestrasse-strand,l,Siedl,1304546,4730030,0.276
seemuhlestrasse-strand,l,Wald,1832909,4730030,0.388
seez,r,Siedl,1477482,5011621,0.295
seez,r,Wald,1568342,5011621,0.313
seez_spennwiesenbrucke,r,Siedl,1496756,6541117,0.229
seez_spennwiesenbrucke,r,Wald,1567048,6541117,0.24
sempachersee_sempach_tampec,l,Siedl,1391310,4568035,0.305
sempachersee_sempach_tampec,l,Wald,136366,4568035,0.03
sentiero-giro-del-golf-spiaggia,l,Reben,115551,2643656,0.044
sentiero-giro-del-golf-spiaggia,l,Siedl,1058115,2643656,0.4
signalpain,l,Siedl,3405948,4481126,0.76
signalpain,l,Wald,488593,4481126,0.109
sihl_zuerich_scherfs,r,Siedl,5831561,6807587,0.857
sihl_zurich_himmelhebern,r,Siedl,3100358,7053838,0.44
sihl_zurich_himmelhebern,r,Wald,2188290,7053838,0.31
sitter_stgallen_jennya,r,Obstanlage,22537,6940928,0.003
sitter_stgallen_jennya,r,Siedl,3554672,6940928,0.512
sitter_stgallen_jennya,r,Wald,835296,6940928,0.12
spiaggia-parco-ciani,l,Siedl,4096317,4211368,0.973
strandbeiz,l,Obstanlage,109699,2511663,0.044
strandbeiz,l,Siedl,1714219,2511663,0.683
strandboden-biel,l,Siedl,3533044,5864928,0.602
strandboden-biel,l,Wald,1659605,5864928,0.283
sundbach-strand,l,Siedl,624172,3947244,0.158
sundbach-strand,l,Wald,2112303,3947244,0.535
thun-strandbad,l,Siedl,4326376,4343057,0.996
thunersee_spiez_meierd_1,l,Siedl,946284,3166434,0.299
thunersee_spiez_meierd_1,l,Wald,671571,3166434,0.212
tiger-duck-beach,l,Siedl,4113639,4467799,0.921
tiger-duck-beach,l,Wald,157389,4467799,0.035
tolochenaz,l,Obstanlage,443198,3841125,0.115
tolochenaz,l,Reben,95835,3841125,0.025
tolochenaz,l,Siedl,2086792,3841125,0.543
tolochenaz,l,Wald,118922,3841125,0.031
tschilljus,r,Reben,1899773,7019326,0.271
tschilljus,r,Siedl,963323,7019326,0.137
tschilljus,r,Wald,2966653,7019326,0.423
unterdsee_ermatingen_brunkem,l,Reben,104773,4677451,0.022
unterdsee_ermatingen_brunkem,l,Siedl,1565191,4677451,0.335
unterdsee_ermatingen_brunkem,l,Wald,258200,4677451,0.055
untertenzen,l,Siedl,816008,3436553,0.237
untertenzen,l,Wald,506598,3436553,0.147
versoix,l,Obstanlage,38795,3730114,0.01
versoix,l,Siedl,3045943,3730114,0.817
versoix,l,Wald,120155,3730114,0.032
veveyse,l,Reben,83954,3126368,0.027
veveyse,l,Siedl,2995371,3126368,0.958
vidy,l,Siedl,3565388,3683398,0.968
vidy,l,Wald,100822,3683398,0.027
vidy-ruines,l,Siedl,3828791,4022452,0.952
vidy-ruines,l,Wald,105983,4022452,0.026
vierwaldstattersee_weggis_schoberls_1,l,Obstanlage,272919,4060624,0.067
vierwaldstattersee_weggis_schoberls_1,l,Siedl,934002,4060624,0.23
vierwaldstattersee_weggis_schoberls_1,l,Wald,268216,4060624,0.066
vierwaldstattersee_weggis_schoberls_2,l,Obstanlage,272919,3967598,0.069
vierwaldstattersee_weggis_schoberls_2,l,Siedl,920021,3967598,0.232
vierwaldstattersee_weggis_schoberls_2,l,Wald,270792,3967598,0.068
vierwaldstattersee_weggis_schoberls_3,l,Siedl,1074630,2926722,0.367
vierwaldstattersee_weggis_schoberls_3,l,Wald,266570,2926722,0.091
villa-barton,l,Siedl,3404034,3423779,0.994
villars,p,Siedl,6324,6986101,0.001
villars,p,Wald,1399693,6986101,0.2
vira-gambarogno,l,Siedl,1066576,3816571,0.279
vira-gambarogno,l,Wald,1940413,3816571,0.508
vira-spiaggia-left-of-river,l,Siedl,1065162,3922974,0.272
vira-spiaggia-left-of-river,l,Wald,2038923,3922974,0.52
walensee_walenstadt_wysse,l,Siedl,1459477,4896449,0.298
walensee_walenstadt_wysse,l,Wald,1665303,4896449,0.34
weissenau-neuhaus,l,Siedl,172702,3707593,0.047
weissenau-neuhaus,l,Wald,1001684,3707593,0.27
wycheley,l,Siedl,939410,5425461,0.173
wycheley,l,Wald,1921474,5425461,0.354
zuerichsee_maennedorf_vanderkaadene,l,Siedl,3446554,3964841,0.869
zuerichsee_maennedorf_vanderkaadene,l,Wald,2509,3964841,0.001
zuerichsee_richterswil_benkoem_2,l,Siedl,2111292,3364094,0.628
zuerichsee_richterswil_benkoem_2,l,Wald,434524,3364094,0.129
zuerichsee_staefa_hennm,l,Reben,279643,3683138,0.076
zuerichsee_staefa_hennm,l,Siedl,1102286,3683138,0.299
zuerichsee_staefa_hennm,l,Wald,376859,3683138,0.102
zuerichsee_waedenswil_colomboc_1,l,Obstanlage,89293,3946246,0.023
zuerichsee_waedenswil_colomboc_1,l,Siedl,2367382,3946246,0.6
zuerichsee_waedenswil_colomboc_1,l,Wald,434524,3946246,0.11
zuerichsee_zurich_kullg,l,Siedl,3656322,3750060,0.975
zuerichsee_zurich_kullg,l,Wald,76795,3750060,0.02
zugersee_immensee_guedesd,l,Obstanlage,274191,2934687,0.093
zugersee_immensee_guedesd,l,Siedl,201425,2934687,0.069
zugersee_immensee_guedesd,l,Wald,1630549,2934687,0.556
zugerseecholler_cham_blarerm,l,Siedl,2127222,3439487,0.618
zurcher-strand,l,Siedl,4824607,5861863,0.823
zurichsee-feldeggstr-banningersand,l,Siedl,4369452,4885814,0.894
zurichsee-feldeggstr-banningersand,l,Wald,8052,4885814,0.002
zurichsee_kusnachterhorn_thirkell-whitej,l,Siedl,2934317,3238234,0.906
zurichsee_kusnachterhorn_thirkell-whitej,l,Wald,180455,3238234,0.056
zurichsee_wollishofen_langendorfm,l,Siedl,3517565,4266194,0.825
zurichsee_wollishofen_langendorfm,l,Wald,6425,4266194,0.002
