NAMN,NAMN_2,LAUFNR,BREITE,KLASSE,OBJVAL,slug
,Aach (Arbon),"0","8","8",Fluss,bodensee_steinach_dolder_a
,Glatt,"0","7","6",Fluss,greifensee_fallanden_meistery
,Glatt,"0","7","6",Fluss,greifensee_fallanden_simmenc
,Glatt,"0","7","6",Fluss,greifensee_fallanden_meistery
,Glatt,"0","7","6",Fluss,greifensee_fallanden_simmenc
,Glatt,"0","7","6",Fluss,greifensee_fallanden_meistery
,Glatt,"0","7","6",Fluss,greifensee_fallanden_simmenc
,Furtbach,"0","9","9",Fluss,katzensee_regensdorfzuerichaffoltern_stueberj
,Dorfbach,"0","10","10",Fluss,greifensee_uster_fischerb_-2
,Dorfbach,"0","10","10",Fluss,greifensee_uster_fischerb_1
,Dorfbach,"0","9","9",Fluss,greifensee_maur_simmenc
,Mönchaltorfer Aa,"0","8","8",Fluss,greifensee_maur_simmenc
,Lipperütibach,"0","9","9",Fluss,sempachersee_sempach_tampec
,Gross Aa,"0","8","8",Fluss,sempachersee_sempach_tampec
,Chli Aa,"0","9","9",Fluss,sempachersee_sempach_tampec
,Mönchaltorfer Aa,"0","8","8",Fluss,greifensee_maur_simmenc
