NAMN,NAMN_2,LAUFNR,BREITE,KLASSE,OBJVAL,slug
Walensee,Linth,"0","5","5",Fluss,gasi-strand
Walensee,Linth,"0","5","5",Fluss,seeflechsen
Walensee,Linth,"0","5","5",Fluss,flibach-river-right-bank
Walensee,Linth,"0","5","5",Fluss,linth_route9brucke
Walensee,Filzbach,"0","9","9",Fluss,linth_route9brucke
Walensee,Meerenbach,"0","9","9",Fluss,muhlehorn-dorf
Walensee,Meerenbach,"0","9","9",Fluss,muhlehorn-dorf
Walensee,Rötibach,"0","9","9",Fluss,muhlehorn-dorf
Walensee,Rötibach,"0","9","9",Fluss,muhlehorn-dorf
Walensee,Murgbach,"0","8","8",Fluss,murg-bad
Walensee,Talbach,"0","9","9",Fluss,untertenzen
Walensee,Murgbach,"0","8","8",Fluss,murg-bad
Walensee,Talbach,"0","9","9",Fluss,untertenzen
Walensee,Talbach (Mols),"0","9","9",Fluss,mols-rocks
Walensee,Seez,"0","6","6",Fluss,walensee_walenstadt_wysse
Walensee,Seez,"0","6","6",Fluss,mols-rocks
Walensee,Seez,"0","6","6",Fluss,seemuhlestrasse-strand
Walensee,Seez,"0","6","6",Fluss,seez_spennwiesenbrucke
Walensee,Seez,"0","6","6",Fluss,seez
Walensee,Talbach (Mols),"0","9","9",Fluss,mols-rocks
Walensee,Kanal Platz,"0","18","8",Fluss,walensee_walenstadt_wysse
Walensee,Kanal Platz,"0","18","8",Fluss,mols-rocks
Walensee,Kanal Platz,"0","18","8",Fluss,seemuhlestrasse-strand
Walensee,Kanal Platz,"0","18","8",Fluss,seez_spennwiesenbrucke
Walensee,Kanal Platz,"0","18","8",Fluss,seez
Walensee,Seez,"0","6","6",Fluss,walensee_walenstadt_wysse
Walensee,Seez,"0","6","6",Fluss,mols-rocks
Walensee,Seez,"0","6","6",Fluss,seemuhlestrasse-strand
Walensee,Seez,"0","6","6",Fluss,seez_spennwiesenbrucke
Walensee,Seez,"0","6","6",Fluss,seez
Walensee,Kanal Platz,"0","18","8",Fluss,walensee_walenstadt_wysse
Walensee,Kanal Platz,"0","18","8",Fluss,mols-rocks
Walensee,Kanal Platz,"0","18","8",Fluss,seemuhlestrasse-strand
Walensee,Kanal Platz,"0","18","8",Fluss,seez_spennwiesenbrucke
Walensee,Kanal Platz,"0","18","8",Fluss,seez
Walensee,Tscherlerbach,"0","8","8",Fluss,walensee_walenstadt_wysse
Walensee,Tscherlerbach,"0","8","8",Fluss,seemuhlestrasse-strand
Walensee,Tscherlerbach,"0","8","8",Fluss,seez_spennwiesenbrucke
Walensee,Tscherlerbach,"0","8","8",Fluss,seez
Walensee,Helgenbach,"0","10","10",Fluss,walensee_walenstadt_wysse
Walensee,Helgenbach,"0","10","10",Fluss,seemuhlestrasse-strand
Walensee,Helgenbach,"0","10","10",Fluss,seez
Walensee,Tscherlerbach,"0","8","8",Fluss,walensee_walenstadt_wysse
Walensee,Tscherlerbach,"0","8","8",Fluss,seemuhlestrasse-strand
Walensee,Tscherlerbach,"0","8","8",Fluss,seez_spennwiesenbrucke
Walensee,Tscherlerbach,"0","8","8",Fluss,seez
Le Léman,L'Aubonne,"0","9","9",Fluss,la-pecherie
Le Léman,L'Eau Noire,"0","10","10",Fluss,la-pecherie
Le Léman,La Mèbre,"0","8","8",Fluss,tiger-duck-beach
Le Léman,La Mèbre,"0","8","8",Fluss,parc-des-pierrettes
Le Léman,La Mèbre,"0","8","8",Fluss,plage-de-st-sulpice
Le Léman,La Mèbre,"0","8","8",Fluss,vidy-ruines
Le Léman,La Mèbre,"0","8","8",Fluss,plage-de-dorigny
Le Léman,La Mèbre,"0","8","8",Fluss,vidy
Le Léman,La Mèbre,"0","8","8",Fluss,lacleman_vidy_santie
Le Léman,Le Venoge,"0","8","7",Fluss,preverenges
Le Léman,Le Venoge,"0","8","7",Fluss,preverenges-le-sout
Le Léman,Le Venoge,"0","8","7",Fluss,saint-sulpice
Le Léman,La Morges,"0","9","9",Fluss,tolochenaz
Le Léman,La Morges,"0","9","9",Fluss,la-morges
Le Léman,Le Boiron de Nyon,"0","9","9",Fluss,boiron
Le Léman,Le Boiron de Nyon,"0","9","9",Fluss,tolochenaz
Le Léman,Canal Stockalper,"0","18","8",Fluss,grand-clos
Le Léman,Le Rhône,"0","2","4",Fluss,grand-clos
Le Léman,Le Flon,"0","10","10",Fluss_U,vidy-ruines
Le Léman,Le Flon,"0","10","10",Fluss_U,vidy
Le Léman,Le Flon,"0","10","10",Fluss_U,lacleman_vidy_santie
Le Léman,La Mèbre,"0","8","8",Fluss,tiger-duck-beach
Le Léman,La Mèbre,"0","8","8",Fluss,parc-des-pierrettes
Le Léman,La Mèbre,"0","8","8",Fluss,plage-de-st-sulpice
Le Léman,La Mèbre,"0","8","8",Fluss,vidy-ruines
Le Léman,La Mèbre,"0","8","8",Fluss,plage-de-dorigny
Le Léman,La Mèbre,"0","8","8",Fluss,vidy
Le Léman,La Mèbre,"0","8","8",Fluss,lacleman_vidy_santie
Le Léman,Le Flon de Tartegnin,"0","10","10",Fluss,rolle-plage
Le Léman,La Morges,"0","9","9",Fluss,tolochenaz
Le Léman,La Morges,"0","9","9",Fluss,la-morges
Le Léman,Le Venoge,"0","8","7",Fluss,preverenges
Le Léman,Le Venoge,"0","8","7",Fluss,preverenges-le-sout
Le Léman,Le Venoge,"0","8","7",Fluss,saint-sulpice
Le Léman,Le Rhône,"0","1","4",Fluss,baby-plage-geneva
Le Léman,Le Rhône,"0","1","4",Fluss,pont-sous-terre
Le Léman,Le Rhône,"0","1","4",Fluss,baby-plage-ii-geneve
Le Léman,Le Rhône,"0","1","4",Fluss,rocky-plage
Le Léman,L'Eau Noire,"0","10","10",Fluss,la-pecherie
Le Léman,Le Flon de Tartegnin,"0","10","10",Fluss,rolle-plage
Le Léman,L'Aubonne,"0","9","9",Fluss,la-pecherie
Le Léman,Le Boiron de Nyon,"0","9","9",Fluss,boiron
Le Léman,Le Boiron de Nyon,"0","9","9",Fluss,tolochenaz
Le Léman,La Veveyse,"0","8","8",Fluss,quai-maria-belgia
Le Léman,La Veveyse,"0","8","8",Fluss,oyonne
Le Léman,La Veveyse,"0","8","8",Fluss,arabie
Le Léman,La Veveyse,"0","8","8",Fluss,veveyse
Le Léman,L'Ognona,"0","10","10",Fluss,quai-maria-belgia
Le Léman,L'Ognona,"0","10","10",Fluss,anarchy-beach
Le Léman,L'Ognona,"0","10","10",Fluss,oyonne
Le Léman,L'Ognona,"0","10","10",Fluss,bain-des-dames
Le Léman,L'Ognona,"0","10","10",Fluss,arabie
Le Léman,L'Ognona,"0","10","10",Fluss,veveyse
Le Léman,L'Ognona,"0","10","10",Fluss,le-port
Le Léman,L'Ognona,"0","10","10",Fluss,ognonnaz-1
Le Léman,La Veveyse,"0","8","8",Fluss,quai-maria-belgia
Le Léman,La Veveyse,"0","8","8",Fluss,oyonne
Le Léman,La Veveyse,"0","8","8",Fluss,arabie
Le Léman,La Veveyse,"0","8","8",Fluss,veveyse
Le Léman,L'Ognona,"0","10","10",Fluss,quai-maria-belgia
Le Léman,L'Ognona,"0","10","10",Fluss,anarchy-beach
Le Léman,L'Ognona,"0","10","10",Fluss,oyonne
Le Léman,L'Ognona,"0","10","10",Fluss,bain-des-dames
Le Léman,L'Ognona,"0","10","10",Fluss,arabie
Le Léman,L'Ognona,"0","10","10",Fluss,veveyse
Le Léman,L'Ognona,"0","10","10",Fluss,le-port
Le Léman,L'Ognona,"0","10","10",Fluss,ognonnaz-1
Le Léman,Baye de Clarens,"0","9","9",Fluss,maladaire
Le Léman,Baye de Clarens,"0","9","9",Fluss,le-pierrier
Le Léman,Baye de Clarens,"0","9","9",Fluss,baye-de-clarens
Le Léman,Baye de Clarens,"0","9","9",Fluss,pierrier-sud
Le Léman,Baye de Clarens,"0","9","9",Fluss,maladaire
Le Léman,Baye de Clarens,"0","9","9",Fluss,le-pierrier
Le Léman,Baye de Clarens,"0","9","9",Fluss,baye-de-clarens
Le Léman,Baye de Clarens,"0","9","9",Fluss,pierrier-sud
Le Léman,Baye de Montreux,"0","9","9",Fluss,baye-de-montreux-g
Le Léman,Baye de Montreux,"0","9","9",Fluss,baye-de-montreux-d
Le Léman,Baye de Montreux,"0","9","9",Fluss,baye-de-montreux-g
Le Léman,Baye de Montreux,"0","9","9",Fluss,baye-de-montreux-d
Le Léman,Le Rhône,"0","2","4",Fluss,grand-clos
Le Léman,Le Tové,"0","10","10",Fluss,grand-clos
Le Léman,Le Flon,"0","10","10",Fluss_U,vidy-ruines
Le Léman,Le Flon,"0","10","10",Fluss_U,vidy
Le Léman,Le Flon,"0","10","10",Fluss_U,lacleman_vidy_santie
Le Léman,Canal Stockalper,"0","18","8",Fluss,grand-clos
Le Léman,Le Tové,"0","10","10",Fluss,grand-clos
Le Léman,Le Rhône,"0","1","4",Fluss,baby-plage-geneva
Le Léman,Le Rhône,"0","1","4",Fluss,pont-sous-terre
Le Léman,Le Rhône,"0","1","4",Fluss,baby-plage-ii-geneve
Le Léman,Le Rhône,"0","1","4",Fluss,rocky-plage
Zürichsee,Tobelbach,"0","9","9",Fluss,zuerichsee_staefa_hennm
Zürichsee,Tobelbach,"0","9","9",Fluss,zuerichsee_staefa_hennm
Zürichsee,Dorfbach,"0","9","9",Fluss,zurichsee_kusnachterhorn_thirkell-whitej
Zürichsee,Dorfbach,"0","9","9",Fluss,kusnachter-dorfbach-tobelweg-1-4
Zürichsee,Dorfbach,"0","9","9",Fluss,zurichsee_kusnachterhorn_thirkell-whitej
Zürichsee,Dorfbach,"0","9","9",Fluss,kusnachter-dorfbach-tobelweg-1-4
Zürichsee,Wildbach,"0","9","9",Fluss,zurichsee_wollishofen_langendorfm
Zürichsee,Wildbach,"0","9","9",Fluss,zuerichsee_zurich_kullg
Zürichsee,Wildbach,"0","9","9",Fluss,zurichsee-feldeggstr-banningersand
Zürichsee,Wildbach,"0","9","9",Fluss,zurichsee_wollishofen_langendorfm
Zürichsee,Wildbach,"0","9","9",Fluss,zuerichsee_zurich_kullg
Zürichsee,Wildbach,"0","9","9",Fluss,zurichsee-feldeggstr-banningersand
Zürichsee,Limmat,"0","4","4",Fluss,zurcher-strand
Zürichsee,Limmat,"0","4","4",Fluss,zuerichsee_zurich_kullg
