OBJVAL,slug,feature_ty,length
NebenStr3,rhein-beach-tinguely,r,"113"
NebenStr3,rhein-beach-tinguely,r,"201"
NebenStr3,rhein-beach-tinguely,r,"250"
NebenStr3,rhein-beach-tinguely,r,"1236"
NebenStr3,rhein-beach-tinguely,r,"386"
NebenStr3,rhein-beach-tinguely,r,"271"
NebenStr3,rhein-beach-tinguely,r,"1131"
NebenStr3,rhein-beach-tinguely,r,"1995"
NebenStr3,rhein-beach-tinguely,r,"1310"
NebenStr3,rhein-beach-tinguely,r,"955"
NebenStr3,rhein-beach-tinguely,r,"472"
Autobahn,maladaire,l,"901"
HauptStrAB6,rivapiana,l,"1198"
HauptStrAB6,rivapiana,l,"549"
HauptStrAB6,rivapiana,l,"2349"
VerbindStr4,route-13,r,"749"
VerbindStr4,route-13,r,"1028"
VerbindStr4,route-13,r,"1584"
NebenStr3,route-13,r,"1139"
NebenStr3,route-13,r,"762"
NebenStr3,route-13,r,"336"
NebenStr3,route-13,r,"786"
NebenStr3,route-13,r,"166"
NebenStr3,route-13,r,"1462"
NebenStr3,route-13,r,"79"
NebenStr3,route-13,r,"353"
NebenStr3,route-13,r,"528"
NebenStr3,route-13,r,"1219"
NebenStr3,route-13,r,"186"
NebenStr3,route-13,r,"187"
NebenStr3,route-13,r,"171"
NebenStr3,route-13,r,"540"
NebenStr3,route-13,r,"152"
NebenStr3,route-13,r,"197"
NebenStr3,route-13,r,"1118"
NebenStr3,route-13,r,"61"
NebenStr3,route-13,r,"140"
NebenStr3,route-13,r,"102"
NebenStr3,route-13,r,"152"
NebenStr3,route-13,r,"62"
Fahrstraes,bern-tiergarten,r,"1125"
Fahrstraes,bern-tiergarten,r,"349"
VerbindStr4,aare-port,r,"593"
VerbindStr4,aare-port,r,"1471"
VerbindStr4,aare-port,r,"167"
NebenStr3,birs_basel_grunern,r,"1177"
NebenStr3,birs_basel_grunern,r,"1310"
NebenStr3,birs_basel_grunern,r,"1057"
NebenStr3,birs_basel_grunern,r,"7"
NebenStr3,birs_basel_grunern,r,"825"
NebenStr3,birs_basel_grunern,r,"1867"
NebenStr3,birs_basel_grunern,r,"500"
NebenStr3,birs_basel_grunern,r,"315"
Fahrstraes,veveyse,l,"196"
Fahrstraes,veveyse,l,"569"
Fahrstraes,veveyse,l,"587"
Fahrstraes,veveyse,l,"705"
HauptStrAB6,limmat_zuerich_wagnerc,r,"1078"
NebenStr3,la-robella,p,"1747"
HauptStrAB6,seez,r,"3130"
NebenStr3,greifensee_uster_fischerb_-2,l,"318"
NebenStr3,greifensee_uster_fischerb_-2,l,"1846"
NebenStr3,greifensee_uster_fischerb_-2,l,"539"
NebenStr3,greifensee_uster_fischerb_-2,l,"527"
NebenStr3,greifensee_uster_fischerb_-2,l,"593"
NebenStr3,greifensee_uster_fischerb_-2,l,"1205"
NebenStr3,greifensee_uster_fischerb_-2,l,"683"
Fahrstraes,quai-maria-belgia,l,"548"
Fahrstraes,quai-maria-belgia,l,"705"
Fahrstraes,glatt_oerlikon_covosn,r,"67"
Fahrstraes,la-morges,l,"1201"
NebenStr3,sorne_birse_wwfjura,r,"484"
NebenStr3,sorne_birse_wwfjura,r,"89"
NebenStr3,sorne_birse_wwfjura,r,"98"
NebenStr3,sorne_birse_wwfjura,r,"104"
NebenStr3,sorne_birse_wwfjura,r,"131"
NebenStr3,sorne_birse_wwfjura,r,"103"
NebenStr3,sorne_birse_wwfjura,r,"194"
NebenStr3,sorne_birse_wwfjura,r,"300"
NebenStr3,sorne_birse_wwfjura,r,"250"
NebenStr3,sorne_birse_wwfjura,r,"288"
NebenStr3,sorne_birse_wwfjura,r,"787"
NebenStr3,sorne_birse_wwfjura,r,"406"
NebenStr3,sorne_birse_wwfjura,r,"126"
NebenStr3,sorne_birse_wwfjura,r,"677"
Fahrstraes,tschilljus,r,"478"
Fahrstraes,tschilljus,r,"522"
HauptStrAB6,foce-del-cassarate,r,"432"
HauptStrAB6,foce-del-cassarate,r,"1458"
HauptStrAB6,foce-del-cassarate,r,"374"
HauptStrAB6,foce-del-cassarate,r,"370"
HauptStrAB6,foce-del-cassarate,r,"51"
HauptStrAB6,foce-del-cassarate,r,"839"
HauptStrAB6,foce-del-cassarate,r,"897"
HauptStrAB6,foce-del-cassarate,r,"1"
HauptStrAB6,foce-del-cassarate,r,"493"
HauptStrAB6,foce-del-cassarate,r,"389"
HauptStrAB6,foce-del-cassarate,r,"1007"
HauptStrAB6,le-pierrier,l,"2082"
HauptStrAB6,le-pierrier,l,"1646"
HauptStrAB6,le-pierrier,l,"1144"
Fahrstraes,bodensee_arbon_moslis,l,"2733"
Fahrstraes,bodensee_arbon_moslis,l,"326"
Fahrstraes,bodensee_arbon_moslis,l,"141"
VerbindStr6,zurichsee-feldeggstr-banningersand,l,"289"
VerbindStr6,zurichsee-feldeggstr-banningersand,l,"838"
Autob_Ri,birs_basel_grunern,r,"2156"
NebenStr3,reuss_ottenbach_schoenenbergerl,r,"1458"
NebenStr3,reuss_ottenbach_schoenenbergerl,r,"1319"
NebenStr3,reuss_ottenbach_schoenenbergerl,r,"803"
NebenStr3,emme_biberist_jennim,r,"372"
NebenStr3,emme_biberist_jennim,r,"675"
NebenStr3,emme_biberist_jennim,r,"1439"
NebenStr3,emme_biberist_jennim,r,"407"
VerbindStr6,pacha-mama-gerra,l,"2993"
Fahrstraes,gummligrabbe,r,"326"
Fahrstraes,gummligrabbe,r,"2057"
Fahrstraes,gummligrabbe,r,"1645"
Fahrstraes,gummligrabbe,r,"175"
Fahrstraes,gummligrabbe,r,"2012"
Autobahn,bern-fahrstrasse,r,"2026"
HauptStrAB4,limmat_zuerich_suterdglauserp,r,"500"
HauptStrAB4,limmat_zuerich_suterdglauserp,r,"841"
NebenStr3,limmat_zuerich_wagnerc,r,"127"
NebenStr3,limmat_zuerich_wagnerc,r,"1693"
NebenStr3,limmat_zuerich_wagnerc,r,"93"
VerbindStr6,katzensee_regensdorfzuerichaffoltern_stueberj,l,"854"
VerbindStr6,katzensee_regensdorfzuerichaffoltern_stueberj,l,"33"
VerbindStr4,sitter_stgallen_jennya,r,"2382"
Fussweg,sihl_zurich_himmelhebern,r,"1016"
Fussweg,sihl_zurich_himmelhebern,r,"29"
VerbindStr6,les-vieux-ronquoz,r,"1047"
VerbindStr6,les-vieux-ronquoz,r,"2981"
VerbindStr6,les-vieux-ronquoz,r,"2412"
VerbindStr6,les-vieux-ronquoz,r,"464"
VerbindStr6,les-vieux-ronquoz,r,"435"
VerbindStr6,les-vieux-ronquoz,r,"523"
VerbindStr6,les-vieux-ronquoz,r,"352"
VerbindStr6,les-vieux-ronquoz,r,"368"
VerbindStr6,les-vieux-ronquoz,r,"267"
VerbindStr6,les-vieux-ronquoz,r,"285"
VerbindStr6,les-vieux-ronquoz,r,"348"
NebenStr3,bodensee_arbon_moslis,l,"496"
NebenStr3,bodensee_arbon_moslis,l,"472"
NebenStr3,bodensee_arbon_moslis,l,"887"
NebenStr3,bodensee_arbon_moslis,l,"649"
NebenStr3,bodensee_arbon_moslis,l,"136"
NebenStr3,bodensee_arbon_moslis,l,"287"
NebenStr3,bodensee_arbon_moslis,l,"572"
Fussweg,villa-barton,l,"564"
HauptStrAB6,sitter_stgallen_steinbrunnerf,r,"725"
HauptStrAB6,sitter_stgallen_steinbrunnerf,r,"1266"
HauptStrAB6,sitter_stgallen_steinbrunnerf,r,"196"
HauptStrAB6,zurichsee-feldeggstr-banningersand,l,"448"
HauptStrAB6,zurichsee-feldeggstr-banningersand,l,"1622"
HauptStrAB6,zurichsee-feldeggstr-banningersand,l,"963"
HauptStrAB6,zurichsee-feldeggstr-banningersand,l,"540"
HauptStrAB6,zurichsee-feldeggstr-banningersand,l,"234"
HauptStrAB6,zurichsee-feldeggstr-banningersand,l,"784"
HauptStrAB6,zurichsee-feldeggstr-banningersand,l,"2144"
HauptStrAB6,zurichsee-feldeggstr-banningersand,l,"316"
HauptStrAB6,zurichsee-feldeggstr-banningersand,l,"266"
HauptStrAB6,zurichsee-feldeggstr-banningersand,l,"818"
HauptStrAB6,zurichsee-feldeggstr-banningersand,l,"1034"
VerbindStr6,greifensee_uster_fischerb_1,l,"1109"
VerbindStr6,villa-barton,l,"544"
VerbindStr6,villa-barton,l,"384"
NebenStr3,pointe-dareuse,l,"268"
NebenStr3,pointe-dareuse,l,"427"
NebenStr3,pointe-dareuse,l,"1093"
HauptStrAB6,pointe-dareuse,l,"899"
HauptStrAB6,emme_utzenstorf_gruttert,r,"2961"
HauptStrAB6,toss_winterthur-2,r,"404"
HauptStrAB6,toss_winterthur-2,r,"1651"
HauptStrAB6,toss_winterthur-2,r,"1643"
HauptStrAB6,toss_winterthur-2,r,"1254"
NebenStr3,sihl_zuerich_scherfs,r,"119"
NebenStr3,sihl_zuerich_scherfs,r,"157"
NebenStr3,sihl_zuerich_scherfs,r,"113"
NebenStr3,sihl_zuerich_scherfs,r,"309"
NebenStr3,sihl_zuerich_scherfs,r,"325"
NebenStr3,sihl_zuerich_scherfs,r,"218"
NebenStr3,sihl_zuerich_scherfs,r,"214"
NebenStr3,sihl_zuerich_scherfs,r,"72"
NebenStr3,sihl_zuerich_scherfs,r,"115"
NebenStr3,sihl_zuerich_scherfs,r,"68"
NebenStr3,sihl_zuerich_scherfs,r,"388"
NebenStr3,sihl_zuerich_scherfs,r,"158"
NebenStr3,sihl_zuerich_scherfs,r,"215"
NebenStr3,sihl_zuerich_scherfs,r,"563"
NebenStr3,sihl_zuerich_scherfs,r,"365"
NebenStr3,sihl_zuerich_scherfs,r,"418"
NebenStr3,sihl_zuerich_scherfs,r,"398"
NebenStr3,sihl_zuerich_scherfs,r,"564"
NebenStr3,sihl_zuerich_scherfs,r,"358"
NebenStr3,sihl_zuerich_scherfs,r,"335"
NebenStr3,sihl_zuerich_scherfs,r,"135"
NebenStr3,sihl_zuerich_scherfs,r,"222"
NebenStr3,sihl_zuerich_scherfs,r,"193"
NebenStr3,sihl_zuerich_scherfs,r,"136"
NebenStr3,sihl_zuerich_scherfs,r,"254"
NebenStr3,sihl_zuerich_scherfs,r,"167"
NebenStr3,sihl_zuerich_scherfs,r,"242"
NebenStr3,sihl_zuerich_scherfs,r,"419"
NebenStr3,sihl_zuerich_scherfs,r,"283"
NebenStr3,sihl_zuerich_scherfs,r,"442"
NebenStr3,sihl_zuerich_scherfs,r,"119"
NebenStr3,sihl_zuerich_scherfs,r,"290"
NebenStr3,sihl_zuerich_scherfs,r,"131"
NebenStr3,sihl_zuerich_scherfs,r,"129"
NebenStr3,sihl_zuerich_scherfs,r,"110"
NebenStr3,sihl_zuerich_scherfs,r,"393"
NebenStr3,sihl_zuerich_scherfs,r,"493"
NebenStr3,sihl_zuerich_scherfs,r,"73"
NebenStr3,sihl_zuerich_scherfs,r,"173"
NebenStr3,sihl_zuerich_scherfs,r,"76"
NebenStr3,sihl_zuerich_scherfs,r,"177"
NebenStr3,sihl_zuerich_scherfs,r,"202"
NebenStr3,sihl_zuerich_scherfs,r,"279"
NebenStr3,sihl_zuerich_scherfs,r,"135"
NebenStr3,sihl_zuerich_scherfs,r,"242"
NebenStr3,sihl_zuerich_scherfs,r,"295"
NebenStr3,sihl_zuerich_scherfs,r,"229"
NebenStr3,sihl_zuerich_scherfs,r,"62"
NebenStr3,sihl_zuerich_scherfs,r,"156"
NebenStr3,sihl_zuerich_scherfs,r,"240"
NebenStr3,sihl_zuerich_scherfs,r,"201"
NebenStr3,sihl_zuerich_scherfs,r,"394"
NebenStr3,sihl_zuerich_scherfs,r,"57"
NebenStr3,sihl_zuerich_scherfs,r,"184"
NebenStr3,sihl_zuerich_scherfs,r,"163"
NebenStr3,sihl_zuerich_scherfs,r,"226"
NebenStr3,sihl_zuerich_scherfs,r,"179"
NebenStr3,sihl_zuerich_scherfs,r,"142"
NebenStr3,sihl_zuerich_scherfs,r,"397"
NebenStr3,sihl_zuerich_scherfs,r,"167"
NebenStr3,sihl_zuerich_scherfs,r,"533"
NebenStr3,sihl_zuerich_scherfs,r,"161"
NebenStr3,sihl_zuerich_scherfs,r,"328"
NebenStr3,sihl_zuerich_scherfs,r,"304"
NebenStr3,sihl_zuerich_scherfs,r,"398"
NebenStr3,sihl_zuerich_scherfs,r,"968"
NebenStr3,sihl_zuerich_scherfs,r,"176"
NebenStr3,sihl_zuerich_scherfs,r,"477"
NebenStr3,sihl_zuerich_scherfs,r,"231"
NebenStr3,sihl_zuerich_scherfs,r,"369"
NebenStr3,sihl_zuerich_scherfs,r,"405"
NebenStr3,sihl_zuerich_scherfs,r,"269"
NebenStr3,sihl_zuerich_scherfs,r,"253"
NebenStr3,sihl_zuerich_scherfs,r,"536"
NebenStr3,sihl_zuerich_scherfs,r,"395"
NebenStr3,sihl_zuerich_scherfs,r,"413"
NebenStr3,sihl_zuerich_scherfs,r,"98"
NebenStr3,sihl_zuerich_scherfs,r,"694"
NebenStr3,sihl_zuerich_scherfs,r,"597"
NebenStr3,sihl_zuerich_scherfs,r,"340"
NebenStr3,sihl_zuerich_scherfs,r,"118"
NebenStr3,sihl_zuerich_scherfs,r,"113"
NebenStr3,sihl_zuerich_scherfs,r,"153"
Fahrstraes,flibach-river-right-bank,l,"750"
Fahrstraes,flibach-river-right-bank,l,"2645"
Fahrstraes,flibach-river-right-bank,l,"65"
Fahrstraes,flibach-river-right-bank,l,"1156"
VerbindStr6,sihl_leimbach_kruegerm,r,"1526"
Autostr,nidau-strand,l,"535"
NebenStr3,rastplatz-stampf,l,"1854"
VerbindStr6,foce-del-cassarate,r,"443"
VerbindStr6,foce-del-cassarate,r,"314"
Fussweg,strandbeiz,l,"1341"
NebenStr6,spiaggia-parco-ciani,l,"2052"
NebenStr6,spiaggia-parco-ciani,l,"4"
NebenStr6,spiaggia-parco-ciani,l,"972"
Fussweg,rocky-plage,l,"370"
HauptStrAB6,limmat_dietikon_keiserp,r,"3139"
HauptStrAB6,limmat_dietikon_keiserp,r,"516"
HauptStrAB6,maladaire,l,"3230"
HauptStrAB6,maladaire,l,"1325"
Fahrstraes,rhein_eglisau_gomringerp,r,"2633"
Fahrstraes,rhein_eglisau_gomringerp,r,"167"
NebenStr3,sense_torishaus_g-cubes,r,"3271"
HauptStrAB6,pierrier-sud,l,"1940"
HauptStrAB6,pierrier-sud,l,"1636"
HauptStrAB6,pierrier-sud,l,"1364"
HauptStrAB6,quai-maria-belgia,l,"991"
HauptStrAB6,quai-maria-belgia,l,"949"
HauptStrAB6,quai-maria-belgia,l,"1391"
HauptStrAB6,quai-maria-belgia,l,"155"
HauptStrAB6,quai-maria-belgia,l,"639"
HauptStrAB6,quai-maria-belgia,l,"761"
HauptStrAB6,quai-maria-belgia,l,"323"
Fahrstraes,preverenges,l,"1209"
Fahrstraes,preverenges,l,"299"
Fahrstraes,preverenges,l,"535"
Fahrstraes,preverenges,l,"164"
Fahrstraes,seemuhlestrasse-strand,l,"547"
Fahrstraes,seemuhlestrasse-strand,l,"698"
Fahrstraes,seemuhlestrasse-strand,l,"2858"
VerbindStr4,anarchy-beach,l,"965"
HauptStrAB6,thunersee_spiez_meierd_1,l,"2915"
Fahrstraes,ruisseau-de-la-croix-plage,l,"2478"
Fahrstraes,ruisseau-de-la-croix-plage,l,"528"
Fahrstraes,ruisseau-de-la-croix-plage,l,"1367"
Fahrstraes,ruisseau-de-la-croix-plage,l,"330"
VerbindStr6,vidy-ruines,l,"1729"
VerbindStr6,vidy-ruines,l,"275"
VerbindStr6,vidy-ruines,l,"1051"
VerbindStr6,vidy-ruines,l,"410"
VerbindStr6,vidy-ruines,l,"319"
VerbindStr6,vidy-ruines,l,"925"
NebenStr3,lorze_baar_blarere,r,"802"
NebenStr3,lorze_baar_blarere,r,"1940"
NebenStr3,pfafikon-bad,l,"588"
NebenStr3,pfafikon-bad,l,"1363"
Autobahn,zurichsee_wollishofen_langendorfm,l,"2487"
NebenStr3,vidy,l,"817"
NebenStr3,vidy,l,"544"
Fahrstraes,baye-de-montreux-d,l,"1498"
Fahrstraes,baye-de-montreux-d,l,"1214"
Fahrstraes,baye-de-montreux-d,l,"320"
Fahrstraes,greifensee_uster_fischerb_1,l,"1056"
NebenStr3,preverenges-le-sout,l,"258"
NebenStr3,preverenges-le-sout,l,"225"
NebenStr3,preverenges-le-sout,l,"420"
NebenStr3,preverenges-le-sout,l,"908"
NebenStr3,preverenges-le-sout,l,"1287"
VerbindStr4,plage-de-dorigny,l,"146"
VerbindStr4,plage-de-dorigny,l,"1235"
NebenStr3,vira-spiaggia-left-of-river,l,"1237"
NebenStr3,vira-spiaggia-left-of-river,l,"4039"
NebenStr3,vira-spiaggia-left-of-river,l,"1253"
HauptStrAB6,zuerichsee_zurich_kullg,l,"1800"
HauptStrAB6,zuerichsee_zurich_kullg,l,"198"
HauptStrAB6,zuerichsee_zurich_kullg,l,"784"
HauptStrAB6,zuerichsee_zurich_kullg,l,"2740"
HauptStrAB6,zuerichsee_zurich_kullg,l,"333"
HauptStrAB6,zuerichsee_zurich_kullg,l,"1090"
Autobahn,sihl_adliswil_oggi_fort,r,"2139"
VerbindStr6,signalpain,l,"182"
VerbindStr6,signalpain,l,"242"
VerbindStr6,signalpain,l,"242"
VerbindStr6,signalpain,l,"366"
VerbindStr6,signalpain,l,"609"
VerbindStr6,signalpain,l,"618"
VerbindStr6,signalpain,l,"347"
VerbindStr6,signalpain,l,"344"
VerbindStr6,signalpain,l,"1504"
VerbindStr4,airolo,p,"477"
NebenStr3,sundbach-strand,l,"1658"
NebenStr3,sundbach-strand,l,"1288"
HauptStrAB6,rhein_basel_hungerbuehlern,r,"521"
HauptStrAB6,rhein_basel_hungerbuehlern,r,"131"
HauptStrAB6,rhein_basel_hungerbuehlern,r,"804"
HauptStrAB6,rhein_basel_hungerbuehlern,r,"814"
HauptStrAB6,rhein_basel_hungerbuehlern,r,"723"
HauptStrAB6,rhein_basel_hungerbuehlern,r,"295"
HauptStrAB6,rhein_basel_hungerbuehlern,r,"953"
HauptStrAB6,rhein_basel_hungerbuehlern,r,"1298"
HauptStrAB6,rhein_basel_hungerbuehlern,r,"674"
HauptStrAB6,rhein_basel_hungerbuehlern,r,"804"
HauptStrAB6,rhein_basel_hungerbuehlern,r,"36"
HauptStrAB6,rhein_basel_hungerbuehlern,r,"402"
HauptStrAB6,rhein_basel_hungerbuehlern,r,"135"
Fahrstraes,caprino,l,"1522"
Fahrstraes,caprino,l,"395"
HauptStrAB6,sihl_zuerich_eggerskoehlingera,r,"253"
HauptStrAB6,sihl_zuerich_eggerskoehlingera,r,"264"
HauptStrAB6,sihl_zuerich_eggerskoehlingera,r,"1942"
HauptStrAB6,sihl_zuerich_eggerskoehlingera,r,"2705"
HauptStrAB6,vierwaldstattersee_weggis_schoberls_1,l,"3159"
Fahrstraes,baye-de-montreux-g,l,"1498"
Fahrstraes,baye-de-montreux-g,l,"1213"
Fahrstraes,baye-de-montreux-g,l,"330"
Fussweg,baby-plage-geneva,l,"356"
HauptStrAB6,vierwaldstattersee_weggis_schoberls_3,l,"1176"
HauptStrAB4,aare_koniz_hoppej,r,"503"
VerbindStr6,sense_torishaus_g-cubes,r,"912"
HauptStrAB6,vierwaldstattersee_weggis_schoberls_2,l,"2975"
HauptStrAB4,spiaggia-parco-ciani,l,"1390"
NebenStr3,nidau-strand,l,"438"
NebenStr3,nidau-strand,l,"993"
NebenStr3,nidau-strand,l,"1113"
NebenStr3,nidau-strand,l,"775"
NebenStr3,nidau-strand,l,"657"
NebenStr3,nidau-strand,l,"285"
NebenStr3,nidau-strand,l,"271"
NebenStr3,nidau-strand,l,"440"
NebenStr3,nidau-strand,l,"340"
NebenStr3,nidau-strand,l,"10"
NebenStr3,nidau-strand,l,"107"
NebenStr3,nidau-strand,l,"123"
HauptStrAB4,foce-del-cassarate,r,"1442"
NebenStr3,limmat_dietikon_keiserp,r,"365"
NebenStr3,limmat_dietikon_keiserp,r,"463"
NebenStr3,limmat_dietikon_keiserp,r,"388"
NebenStr3,limmat_dietikon_keiserp,r,"425"
NebenStr3,limmat_dietikon_keiserp,r,"523"
NebenStr3,limmat_dietikon_keiserp,r,"76"
NebenStr3,limmat_dietikon_keiserp,r,"1456"
NebenStr3,limmat_dietikon_keiserp,r,"1393"
NebenStr3,limmat_dietikon_keiserp,r,"338"
HauptStrAB6,plage-de-dorigny,l,"3037"
NebenStr3,les-vieux-ronquoz,r,"457"
NebenStr3,les-vieux-ronquoz,r,"2084"
NebenStr3,les-vieux-ronquoz,r,"751"
NebenStr3,les-vieux-ronquoz,r,"177"
NebenStr3,les-vieux-ronquoz,r,"130"
NebenStr3,les-vieux-ronquoz,r,"2816"
NebenStr3,les-vieux-ronquoz,r,"276"
NebenStr3,les-vieux-ronquoz,r,"9"
NebenStr3,les-vieux-ronquoz,r,"261"
NebenStr3,les-vieux-ronquoz,r,"482"
VerbindStr4,plage-de-serriere,l,"778"
VerbindStr4,plage-de-serriere,l,"214"
VerbindStr4,plage-de-serriere,l,"900"
VerbindStr4,plage-de-serriere,l,"1114"
Autob_Ri,birskopfli-rusco,r,"2156"
NebenStr3,foce-del-cassarate,r,"220"
NebenStr3,foce-del-cassarate,r,"459"
NebenStr3,foce-del-cassarate,r,"367"
NebenStr3,foce-del-cassarate,r,"355"
NebenStr3,foce-del-cassarate,r,"228"
NebenStr3,foce-del-cassarate,r,"134"
NebenStr3,foce-del-cassarate,r,"702"
NebenStr3,foce-del-cassarate,r,"1042"
NebenStr3,foce-del-cassarate,r,"388"
NebenStr3,foce-del-cassarate,r,"339"
NebenStr3,foce-del-cassarate,r,"146"
NebenStr3,foce-del-cassarate,r,"414"
NebenStr3,foce-del-cassarate,r,"764"
NebenStr3,foce-del-cassarate,r,"207"
NebenStr3,foce-del-cassarate,r,"196"
NebenStr3,foce-del-cassarate,r,"1426"
NebenStr3,foce-del-cassarate,r,"1487"
NebenStr3,baby-plage-geneva,l,"1941"
NebenStr3,baby-plage-geneva,l,"157"
NebenStr3,baby-plage-geneva,l,"255"
NebenStr3,baby-plage-geneva,l,"220"
NebenStr3,baby-plage-geneva,l,"168"
NebenStr3,baby-plage-geneva,l,"260"
NebenStr3,baby-plage-geneva,l,"164"
NebenStr3,baby-plage-geneva,l,"284"
NebenStr3,baby-plage-geneva,l,"240"
NebenStr3,baby-plage-geneva,l,"143"
NebenStr3,baby-plage-geneva,l,"91"
NebenStr3,baby-plage-geneva,l,"176"
NebenStr3,baby-plage-geneva,l,"256"
NebenStr3,baby-plage-geneva,l,"211"
NebenStr3,baby-plage-geneva,l,"300"
NebenStr3,baby-plage-geneva,l,"245"
NebenStr3,baby-plage-geneva,l,"201"
NebenStr3,baby-plage-geneva,l,"175"
NebenStr3,baby-plage-geneva,l,"169"
NebenStr3,baby-plage-geneva,l,"177"
NebenStr3,baby-plage-geneva,l,"174"
NebenStr3,baby-plage-geneva,l,"200"
NebenStr3,baby-plage-geneva,l,"236"
NebenStr3,baby-plage-geneva,l,"172"
NebenStr3,baby-plage-geneva,l,"129"
NebenStr3,baby-plage-geneva,l,"257"
NebenStr3,baby-plage-geneva,l,"171"
NebenStr3,baby-plage-geneva,l,"341"
NebenStr3,baby-plage-geneva,l,"717"
NebenStr3,baby-plage-geneva,l,"1060"
NebenStr3,baby-plage-geneva,l,"178"
VerbindStr6,reuss,r,"2486"
Autobahn,tolochenaz,l,"2549"
Fussweg,rastplatz-stampf,l,"1409"
VerbindStr6,strandboden-biel,l,"981"
Fahrstraes,unterdsee_ermatingen_brunkem,l,"920"
NebenStr3,flibach-river-right-bank,l,"208"
NebenStr3,aare_elfenau_cataldiv,r,"323"
NebenStr3,aare_elfenau_cataldiv,r,"349"
NebenStr3,aare_elfenau_cataldiv,r,"168"
NebenStr3,aare_elfenau_cataldiv,r,"197"
NebenStr3,aare_elfenau_cataldiv,r,"109"
NebenStr3,aare_elfenau_cataldiv,r,"671"
NebenStr3,aare_elfenau_cataldiv,r,"340"
NebenStr3,aare_elfenau_cataldiv,r,"780"
NebenStr3,aare_elfenau_cataldiv,r,"414"
NebenStr3,aare_elfenau_cataldiv,r,"500"
NebenStr3,aare_elfenau_cataldiv,r,"653"
NebenStr3,aare_elfenau_cataldiv,r,"405"
NebenStr3,aare_elfenau_cataldiv,r,"520"
NebenStr3,aare_elfenau_cataldiv,r,"2153"
NebenStr3,aare_elfenau_cataldiv,r,"1080"
NebenStr3,aare_elfenau_cataldiv,r,"41"
Autobahn,linthdammweg,r,"2264"
HauptStrAB6,ligerz-strand,l,"445"
Fahrstraes,via-mirasole-spiaggia,r,"232"
Fahrstraes,via-mirasole-spiaggia,r,"800"
Fahrstraes,via-mirasole-spiaggia,r,"224"
Fahrstraes,via-mirasole-spiaggia,r,"92"
Fussweg,lavey-les-bains-2,r,"1512"
Fussweg,lavey-les-bains-2,r,"1786"
Fahrstraes,vorderrhein_disentis_schmidn,r,"2822"
Fahrstraes,vorderrhein_disentis_schmidn,r,"528"
Fahrstraes,vorderrhein_disentis_schmidn,r,"1724"
Fahrstraes,vorderrhein_disentis_schmidn,r,"1142"
Fahrstraes,vorderrhein_disentis_schmidn,r,"230"
Fahrstraes,vorderrhein_disentis_schmidn,r,"413"
Autobahn,sihl_zurich_himmelhebern,r,"1228"
Autobahn,sihl_zurich_himmelhebern,r,"2885"
Fussweg,hafeli,l,"1951"
Fussweg,hafeli,l,"1558"
Fussweg,hafeli,l,"171"
Fahrstraes,sitter_stgallen_jennya,r,"1604"
NebenStr3,rocky-plage,l,"132"
NebenStr3,rocky-plage,l,"255"
NebenStr3,rocky-plage,l,"168"
NebenStr3,rocky-plage,l,"260"
NebenStr3,rocky-plage,l,"164"
NebenStr3,rocky-plage,l,"284"
NebenStr3,rocky-plage,l,"1673"
NebenStr3,rocky-plage,l,"240"
NebenStr3,rocky-plage,l,"143"
NebenStr3,rocky-plage,l,"91"
NebenStr3,rocky-plage,l,"176"
NebenStr3,rocky-plage,l,"256"
NebenStr3,rocky-plage,l,"211"
NebenStr3,rocky-plage,l,"300"
NebenStr3,rocky-plage,l,"245"
NebenStr3,rocky-plage,l,"201"
NebenStr3,rocky-plage,l,"175"
NebenStr3,rocky-plage,l,"169"
NebenStr3,rocky-plage,l,"177"
NebenStr3,rocky-plage,l,"174"
NebenStr3,rocky-plage,l,"200"
NebenStr3,rocky-plage,l,"236"
NebenStr3,rocky-plage,l,"172"
NebenStr3,rocky-plage,l,"129"
NebenStr3,rocky-plage,l,"257"
NebenStr3,rocky-plage,l,"171"
NebenStr3,rocky-plage,l,"341"
NebenStr3,rocky-plage,l,"931"
NebenStr3,rocky-plage,l,"1002"
NebenStr3,rocky-plage,l,"296"
Fahrstraes,impromptu_cudrefin,l,"547"
Fahrstraes,impromptu_cudrefin,l,"2143"
VerbindStr6,spackmatt,r,"275"
VerbindStr6,spackmatt,r,"3260"
Fahrstraes,aabach,l,"2444"
Fahrstraes,aabach,l,"1422"
Autobahn,katzensee_regensdorfzuerichaffoltern_stueberj,l,"2854"
HauptStrAB6,zuerichsee_maennedorf_vanderkaadene,l,"3060"
NebenStr3,reuss_hunenberg_eberhardy,r,"578"
NebenStr3,reuss_hunenberg_eberhardy,r,"1446"
NebenStr3,reuss_hunenberg_eberhardy,r,"2002"
NebenStr3,reuss_hunenberg_eberhardy,r,"131"
NebenStr3,reuss_hunenberg_eberhardy,r,"1315"
HauptStrAB4,zurichsee-feldeggstr-banningersand,l,"545"
VerbindStr6,hauterive-petite-plage,l,"1769"
NebenStr6,rhein-beach-tinguely,r,"1"
HauptStrAB6,birs_basel_laderachs,r,"1145"
HauptStrAB6,birs_basel_laderachs,r,"288"
HauptStrAB6,birs_basel_laderachs,r,"17"
HauptStrAB6,birs_basel_laderachs,r,"903"
HauptStrAB6,birs_basel_laderachs,r,"630"
